"Bài tập mới: ""Bài tập nhóm phần MVC""","Xin chào abc!
Nguyen Trong Khanh đã đăng một bài tập mới trong LTM_N1.

BÀI TẬP MỚINgày đến hạn: 8 thg 9
Bài tập nhóm phần MVC
Thiết kế mô hình lớp và xây dựng ứng dụng (Chọn một trong 2 mô hình) mô phỏng máy tính cá nhân (Calculator) theo mô hình MVC:
- Theo mô hình tổng quan
- Theo mô hình cải tiến
Chú ý nộp file zip, tên là tên nhóm, ví dụ: N1.zip, N2.zip ... 

Do Nguyen Trong Khanh đăng vào 7 thg 9",Học tập
Thí nghiệm Vi sinh 2021-2,"Chào các em,

Tuần tới các em bắt đầu thí nghiệm Vi sinh và tuần đầu các em sẽ học lý thuyết.

Do ngày mai chúng ta nghỉ lễ nên buổi lý thuyết sáng mai Cô sẽ dạy online vào tối thứ 5 tuần tới bắt đầu từ 19h

Code của lớp hrwi8m1

Cô Liên Hà",Học tập
Kết quả nhập điểm giữa kỳ môn lý 3,"Chào các em, 

Thầy vừa hoàn thành thủ tục nhập điểm giữa kỳ trên trang ctt-sis. 
Các em vào kiểm tra điểm của mình xem.

Bạn nào có ý kiến về điểm thì gửi mail lại cho thầy chậm nhât ngày mai.

Chúc các em cùng gia đình an toàn trong mùa dịch.

thầy Dũng",Học tập
Thông báo đăng ký thi môn Tâm lý học ứng dụng 125480,"Hi class!
Hiện nay, Nhà trường đã có kế hoạch tổ chức thi cuối kỳ học phần TÂM LÝ HỌC ỨNG DỤNG ED 3280, kỳ 20202 bằng hình thức thi trắc nghiệm online (dự kiến trong khoảng tuần sau, thời gian cụ thể sẽ thông báo đến SV sau). Nếu Sinh viên nào cần điểm thi cuối kỳ học phần Tâm lý học ứng dụng tức thì, các em có thể đăng kí THI VIẾT KẾT HỢP VẤN ĐÁP ONLINE DỰ KIẾN VÀO THỨ 7 NGÀY 28.8.2021 bằng cách điền thông tin vào link sau (NHỮNG BẠN ĐỢI THI TRẮC NGHIỆM ONLINE KHÔNG PHẢI TRẢ LỜI LINK NÀY).
Thời gian đăng kí đến 17h ngày 25.08.2001 (thứ 4). Vào link dưới đây để đăng ký. 
https://forms.office.com/r/C096sEETew
P/S nếu các em không quá gấp gáp, các em nên chờ thêm mấy ngày, vì tuần sau chúng ta thi kết thúc học phần bằng hình thức trắc nghiệm online rùi (dịch bệnh phức tạp quá, chúng ta khó có thể chờ thì offline, vì năm học mới sắp đến, các em cần đăng kí những tín chỉ học tập mới). 
Chúc các em ôn thi tốt nhé.",Học tập
Thông tin về thi giữa kỳ và cuối kỳ,"Gửi các em về thông tin thi giữa kỳ và cuối kỳ cùng với danh sách phòng phi
3
tệp đính kèm
• Gmail đã quét
",Học tập
Thông báo đăng ký thi Online môn Tâm lý học ứng dụng 125480,"Hi everybody
Các em vẫn ổn cả chứ.

Thầy là Nguyễn Văn Hạnh, GV dạy lớp Tâm lý học ứng dụng. Thầy viết thư này cho lớp để thông tin đến các em những vấn đề liên quan đến thi Kết thúc học phần môn học.
Như các em biết, do tình hình dịch bệnh diễn biến rất phức tạp, nếu tiếp tục chờ đợi thì chưa biết bao giờ chúng ta mới có thể tổ chức thi offline môn học và các em sẽ bị tình trạng dồn ứ các học phần/ quá tải thi sau này. Do vậy, nhà trường đã cho phép và chuẩn bị những điều kiện thuận lợi nhất để các em có thể thi Online học phần Tâm lý học ứng dụng và các học phần khác.
Dự kiến, môn Tâm lý học ứng dụng được sắp xếp thi theo hình thức Online trên hệ thống LMS, số lượng câu hỏi trắc nghiệm khoảng 25 câu, thời gian làm bài khoảng 25-30 phút, thời gian dự kiến là ngày 28/8 (còn phụ thuộc vào Phòng đào tạo xếp lịch thi).
Thông tin này được gửi đến lớp để các em có thể lựa chọn đăng ký thi Online học phần này. Những em nào không đăng ký thi online sẽ chờ đợi thi Offline. Với thầy, thầy nghĩ rằng, những học phần nào các em có thể hoàn thành bằng thi Online thì các em hãy cố gắng sắp xếp thời gian thi để hoàn thành học phần sớm, và chuẩn bị tốt nhất đường truyền mạng, camera phải bật suốt trong quá trình thi.
Nhân tiện đây thầy cũng thông báo rằng, điểm thi giữa học phần của lớp mình, không ai dưới 9.5 cả, chúc mừng cả lớp mình. Hy vọng cả lớp sẽ có kì thi kết thúc học phần đạt kết quả tốt như vậy. Ngoài ra, Nguyễn Gia Giang, Chu Văn Lộc, Nguyễn Quang Phong Vũ, Chử Thanh Xuân không có điểm quá trình.

Sau khi đọc thư này, các em đăng ký lựa chọn hình thức thi môn Tâm lý học ứng dụng nhé. Chúc các em ôn thi tốt.

Thầy Hạnh.",Học tập
Tài liệu học tập môn PH1131,"Chào các em,

Thầy xin gửi tới các em một số tài liệu quan trọng.

4 chương đầu tiên về lý thuyết sóng sánh sáng
3 chương bài tập có lời giải, gợi ý.
Đề cương môn học
Mục đích của lớp học là cung cấp, truyền đạt, trao đổi và giải thích cho các em về một số kiến thức vật lý hiện đại trong chương trình Vật lý Đại cương 3. Nên các bài tập thầy cũng cung cấp cho các em để các em đọc, hiểu và vận dụng. Khi các em đóng phần gợi ý và làm lại được bài giải là thầy thấy yên tâm rồi.

Tài liệu thầy sẽ up lên trên teams để các em lấy suống. Lớp trưởng các lớp gửi thông báo cũng như tài liệu tới các bạn trong lớp cho thầy. Một số e-mail bị lỗi và không có thực nên việc gửi tài liệu cũng như thông tin rất khó. Các em cần hỏi gì có thể nhắn cho thầy qua msteams.

Chúc các em học tốt.

Tuần tới chúng ta tiếp tục học về chương giao thoa ánh sáng theo đúng tiến độ môn học.

Thân, 

thầy Dũng",Học tập
Lớp Hóa sinh trên MS Teams,"Chào các em,

Thày đã tạo Team cho lớp Hóa sinh, sáng ngày thứ 6 (từ tiết 3 đến tiết 6) của chúng ta. Các em bố trí thời gian tham dự đầy đủ buổi đầu (và các buổi sau nữa) nhé.

Thày add thủ công, nên nếu bạn nào đó còn bị sót thì các em phản hồi hoặc theo đường link dưới đây để tham gia lớp đã đăng ký nhé

Chúc các em mạnh khỏe và thành công!

Thày Cương",Học tập
Học phần Đồ họa kỹ thuật cơ bản,"Chào các bạn,



Xin tự giới thiệu, mình là Nguyễn Lan Phương, giảng viên bộ môn Hình họa – Vẽ kỹ thuật, Viện Cơ khí.



Học kỳ 20202 này, mình sẽ phụ trách giảng dạy học phần Đồ họa kỹ thuật cơ bản cho mã lớp học 125825.



Theo thông báo của nhà trường, lớp chúng ta sẽ tạm thời học trực tuyến do ảnh hưởng của dịch Covid19. Vì vậy, mình gửi email này đến các thành viên của lớp để cung cấp đường link và mã code để chúng ta học trên ứng dụng MS Teams bắt đầu từ tuần sau.",Học tập
Thông báo về lớp học Vật lý Đại cương 3,"Chào các em, 

Nhân dịp năm mới Thầy gửi lời chúc sức khỏe tới em cùng gia đình năm mới dồi dào sức khỏe, vạn sự như ý.

Do tình hình dịch bệnh diễn biến phức tạp, hình thức học tập của lớp chuyển từ offline sang online.

Thầy chuyển các em đề cương môn học và bài giảng của 2 tuần tới. File chi tiết thầy đính kèm bên dưới.

Thầy gửi các em link lớp học mà mã lớp học.",Học tập
Thông báo điểm quá trình lớp PH1111,"Chào các em, 

Thầy vừa hoàn thiện việc nhập điểm trên hệ thống.

Các em theo dõi điểm của mình. Nếu ai có ý kiến gì về sai sót nhập điểm thì phản hồi lại cho thầy.

Chậm nhất là vào thứ 6 ngày thứ 6, 15 tháng 1 để thầy hiệu chỉnh.

Sau thời gian trên hệ thống khóa lại thầy không điều chỉnh được nữa.

Trong quá trình ôn tập, nếu các em có vấn đề gì cần trao đổi thì gửi e-mail cho thầy.

Chúc các em ôn thi tốt.

thầy Dũng",Học tập
lịch học ngày 8.1.2021,"Gửi các bạn sinh viên lớp CH3316_119660

Do ngày mai lạnh và lịch học sớm và tiết kiệm thời gian để các bạn ôn thi nên ngày mai lớp của chúng ta nghỉ học. Về bảng điểm quá trình thày có post lên lớp học google class rồi nhé

Cám ơn các bạn

Thày Bính",Học tập
"Thông báo nhắc lịch học VLĐC1- PH1111
","Chào các em, 

Tuần này, sáng thứ 4, thầy vẫn lên lớp để giải đáp thắc mắc cho các em.

Các em bố trí thời gian đến lớp. Để buổi học hiệu quả, các em chuẩn bị sẵn các câu hỏi hoặc các phần chưa nắm chắc ở nhà, đến lớp hỏi thầy.

Chúc các em học tốt, 

Thầy Dũng",Học tập
"Nộp tiểu luận và ký Bảng điểm quá trình học phần Kinh tế chính trị - SSH1121
","Gửi các em sinh viên học Kinh tế chính trị - SSH 1121,

Theo thông báo gửi kèm tài liệu hướng dẫn qua email ngày 28/09/2020, tuần 14 theo lịch năm học 2020-2021 của trường Đại học Bách khoa Hà Nội là thời điểm nộp tiểu luận.

Như vậy, tuần học từ thứ Hai 07/12/2020 đến thứ Sáu 11/12/2020 là thời điểm sinh viên nộp tiểu luận trong buổi học lý thuyết.

Lưu ý rằng, khi nộp tiểu luận, sinh viên đồng thời phải ký tên xác nhận lên Bảng điểm quá trình. Nếu không có chữ ký, sẽ không có điểm quá trình. Trường hợp sinh viên vắng mặt buổi học tuần 14 vì lý do bất khả kháng, có thể ủy quyền cho bạn ký thay.

Tất cả trường hợp không nộp bài đúng quy định, sẽ nhận điểm quá trình dưới 3.0

Các em lưu ý thực hiện đúng, để đạt kết quả tốt.
",Học tập
Thông báo đổi lịch thực hành IT1140 lớp 699173,"Thân gửi các bạn lớp 699173! 
Thầy được phân công hướng dẫn thực hành lớp 699173 môn tin đại cương cho các em, do thứ 3 tới ngày 20.10 .2020 theo lịch các bạn thực hành buổi đầu. Do có kế hoạch đặc biệt phòng máy đã được sử dụng. Vậy các em sẽ được nghỉ và lịch thực hành sẽ bù vào tuần 10 Tuần nghỉ giữa kỳ ngày 10.11.2020) theo đúng kíp mong các em thông cảm. 
Đầu tuần thầy sẽ gửi tài liệu thực hành cho các em. 
Cảm ơn các em. 
P.T.Liêm",Học tập
Tài liệu thí nghiệm môn học BF3534 - Bài Thiết lập sơ đồ chức năng Đo và điều khiển,"Gửi các bạn Sinh viên! 

Gửi các bạn tài liệu để thực hiện thí nghiệm môn học Bài Thiết lập sơ đồ chức năng đo và điều khiển 

Các em cần in file Tài liệu (3 trang) để mang đến buổi thí nghiệm 

Còn các file khác, các bạn dùng để tham khảo. 

Chúc các bạn học tốt!",Học tập
ANHLE ENGLISH - LINK THI THỬ TOEIC ONLINE,"Chào các bạn !
Anh Lê Toeic gửi bạn hướng dẫn thi thử và link thi thử Toeic năm 2021 dành cho các bạn đã đăng ký.
Thời gian thi thử: từ ngày 06/09/2021 - 10/09/2021

HƯỚNG DẪN
Bước 2: Điền thông tin đã đăng ký vào phần MOCK TEST và chọn tiếp tục
Bước 3: File nghe nằm bên góc phải, phía trên chữ MOSK TEST và đề thi nằm bên trái. Học viên làm bài thi và đánh đáp án vào bảng theo thứ tự câu hỏi gồm 100 câu Listening và 100 câu Reading.
Bước 4: Nộp bài và kết thúc phần thi.

Lưu ý
Làm bài trên Laptop.
Điền đầy đủ đáp án cho 200 câu trắc nghiệm và không bỏ trống câu nào nhé. Nếu trống hệ thống sẽ không cho chuyển qua phần thi tiếp theo để làm bài.
Nếu chỉ thấy hiển thị 3 đáp án ABC thì ấn phím Ctrl + dấu (-) để thấy đáp án D.
Kết quả thi thử sẽ được thông báo qua mail cho từng bạn trong vòng 24h sau khi kết thúc thời gian làm bài.
Mọi thắc mắc các bạn có thể liên hệ Zalo : 0962017760
Chúc các bạn làm bài thi tốt nhé!",Học tập
Tốt hơn 1% mỗi ngày nếu anh chị hoàn thành khóa học tại Gitiho.com,"Kính gửi anh/chị: Lê,
Đã nhiều ngày trôi qua, chúng tôi không thấy anh/chị quay trở lại để hoàn thành các khóa học:
Khóa học EXG01 - Tuyệt đỉnh Excel - Trở thành bậc thầy Excel trong 16 giờ học được 0%
Vì vậy chúng tôi gửi email này với mong muốn anh/chị quay lại tiếp tục hoàn thành khóa học vì mục tiêu tốt hơn 1% mỗi ngày.
Anh/chị Lê Thúy Nga thân mến, khi anh/chị quyết định đăng ký khóa học tại Gitiho.com, chúng tôi biết rằng đó là một quyết định đúng đắn, vì chúng tôi có một niềm tin là các khóa học tại Gitiho.com sẽ giúp anh chị phát triển các kỹ năng quan trọng trong quá trình làm việc và điều đó sẽ giúp anh/chị có nhiều cơ hội vươn lên trong sự nghiệp. Nhưng có thể vì lý do bận rộn với công việc, bận rộn với gia đình đã khiến anh chị đã quên việc hoàn thành khóa học. Trong những lúc như thế này, chúng tôi xin được chia sẻ tới anh/chị tới công thức thành công:
Cố gắng 1% mỗi ngày để tốt hơn 1% mỗi ngày
Mỗi ngày anh/chị cố gắng 1% thì chỉ cần 72 ngày nữa thôi kỹ năng của anh/chị sẽ tiến bộ gấp đôi hiện giờ. Anh/chị hãy luôn nhớ nhé: Cố gắng 1% mỗi ngày để tốt hơn 1% mỗi ngày.
Để tiếp tục hoàn thành khóa học, anh/chị vui lòng truy cập website: Gitiho.com/Khoa_hoc_cua_toi
Hẹn gặp lại anh/chị trong khóa học.
Trân trọng.",Học tập
