id,subject,content,label
1,"Bài tập mới: ""Bài tập nhóm phần MVC""","Xin chào , đã đăng một bài tập mới trong LTM_N1. BÀI TẬP MỚI Ngày đến hạn: 8 thg 9 Bài tập nhóm phần MVC Thiết kế mô hình lớp và xây dựng ứng dụng (Chọn một trong 2 mô hình) mô phỏng máy tính cá nhân (Calculator) theo mô hình MVC: - Theo mô hình tổng quan - Theo mô hình cải tiến Chú ý nộp file zip, tên là tên nhóm, ví dụ: N1.zip, N2.zip ... Do đăng vào 7 thg 9",Học tập
2,Thí nghiệm Vi sinh 2021-2,"Chào các em,

Tuần tới các em bắt đầu thí nghiệm Vi sinh và tuần đầu các em sẽ học lý thuyết.

Do ngày mai chúng ta nghỉ lễ nên buổi lý thuyết sáng mai Cô sẽ dạy online vào tối thứ 5 tuần tới bắt đầu từ 19h

Code của lớp  ",Học tập
3,Kết quả nhập điểm giữa kỳ môn lý 3,"Chào các em, 

Thầy vừa hoàn thành thủ tục nhập điểm giữa kỳ trên trang ctt-sis. 
Các em vào kiểm tra điểm của mình xem.

Bạn nào có ý kiến về điểm thì gửi mail lại cho thầy chậm nhât ngày mai.

Chúc các em cùng gia đình an toàn trong mùa dịch.

Thầy",Học tập
4,Thông báo đăng ký thi môn Tâm lý học ứng dụng,"Hi class!
Hiện nay, Nhà trường đã có kế hoạch tổ chức thi cuối kỳ học phần TÂM LÝ HỌC ỨNG DỤNG ED 3280, kỳ 20202 bằng hình thức thi trắc nghiệm online (dự kiến trong khoảng tuần sau, thời gian cụ thể sẽ thông báo đến SV sau). Nếu Sinh viên nào cần điểm thi cuối kỳ học phần Tâm lý học ứng dụng tức thì, các em có thể đăng kí THI VIẾT KẾT HỢP VẤN ĐÁP ONLINE DỰ KIẾN VÀO THỨ 7 NGÀY 28.8.2021 bằng cách điền thông tin vào link sau (NHỮNG BẠN ĐỢI THI TRẮC NGHIỆM ONLINE KHÔNG PHẢI TRẢ LỜI LINK NÀY).
Thời gian đăng kí đến 17h ngày 25.08.2001 (thứ 4). Vào link dưới đây để đăng ký. 
P/S nếu các em không quá gấp gáp, các em nên chờ thêm mấy ngày, vì tuần sau chúng ta thi kết thúc học phần bằng hình thức trắc nghiệm online rùi (dịch bệnh phức tạp quá, chúng ta khó có thể chờ thì offline, vì năm học mới sắp đến, các em cần đăng kí những tín chỉ học tập mới). 
Chúc các em ôn thi tốt nhé.",Học tập
5,Thông tin về thi giữa kỳ và cuối kỳ,"Gửi các em về thông tin thi giữa kỳ và cuối kỳ cùng với danh sách phòng phi
3",Học tập
6,Thông báo đăng ký thi Online môn Tâm lý học ứng dụng 125480,"Hi everybody
Các em vẫn ổn cả chứ.

Thầy là Nguyễn Văn Hạnh, GV dạy lớp Tâm lý học ứng dụng. Thầy viết thư này cho lớp để thông tin đến các em những vấn đề liên quan đến thi Kết thúc học phần môn học.
Như các em biết, do tình hình dịch bệnh diễn biến rất phức tạp, nếu tiếp tục chờ đợi thì chưa biết bao giờ chúng ta mới có thể tổ chức thi offline môn học và các em sẽ bị tình trạng dồn ứ các học phần/ quá tải thi sau này. Do vậy, nhà trường đã cho phép và chuẩn bị những điều kiện thuận lợi nhất để các em có thể thi Online học phần Tâm lý học ứng dụng và các học phần khác.
Dự kiến, môn Tâm lý học ứng dụng được sắp xếp thi theo hình thức Online trên hệ thống LMS, số lượng câu hỏi trắc nghiệm khoảng 25 câu, thời gian làm bài khoảng 25-30 phút, thời gian dự kiến là ngày 28/8 (còn phụ thuộc vào Phòng đào tạo xếp lịch thi).
Thông tin này được gửi đến lớp để các em có thể lựa chọn đăng ký thi Online học phần này. Những em nào không đăng ký thi online sẽ chờ đợi thi Offline. Với thầy, thầy nghĩ rằng, những học phần nào các em có thể hoàn thành bằng thi Online thì các em hãy cố gắng sắp xếp thời gian thi để hoàn thành học phần sớm, và chuẩn bị tốt nhất đường truyền mạng, camera phải bật suốt trong quá trình thi.
Nhân tiện đây thầy cũng thông báo rằng, điểm thi giữa học phần của lớp mình, không ai dưới 9.5 cả, chúc mừng cả lớp mình. Hy vọng cả lớp sẽ có kì thi kết thúc học phần đạt kết quả tốt như vậy. Ngoài ra, Nguyễn Gia Giang, Chu Văn Lộc, Nguyễn Quang Phong Vũ, Chử Thanh Xuân không có điểm quá trình.

Sau khi đọc thư này, các em đăng ký lựa chọn hình thức thi môn Tâm lý học ứng dụng nhé. Chúc các em ôn thi tốt.

Thầy.",Học tập
7,Tài liệu học tập môn PH1131,"Chào các em,

Thầy xin gửi tới các em một số tài liệu quan trọng.

 4 chương đầu tiên về lý thuyết sóng sánh sáng
3 chương bài tập có lời giải, gợi ý.
Đề cương môn học
Mục đích của lớp học là cung cấp, truyền đạt, trao đổi và giải thích cho các em về một số kiến thức vật lý hiện đại trong chương trình Vật lý Đại cương 3. Nên các bài tập thầy cũng cung cấp cho các em để các em đọc, hiểu và vận dụng. Khi các em đóng phần gợi ý và làm lại được bài giải là thầy thấy yên tâm rồi.

Tài liệu thầy sẽ up lên trên teams để các em lấy suống. Lớp trưởng các lớp gửi thông báo cũng như tài liệu tới các bạn trong lớp cho thầy. Một số e-mail bị lỗi và không có thực nên việc gửi tài liệu cũng như thông tin rất khó. Các em cần hỏi gì có thể nhắn cho thầy qua msteams.

Chúc các em học tốt.

Tuần tới chúng ta tiếp tục học về chương giao thoa ánh sáng theo đúng tiến độ môn học.

Thân, 

thầy",Học tập
8,Lớp Hóa sinh trên MS Teams,"Chào các em,

Thày đã tạo Team cho lớp Hóa sinh, sáng ngày thứ 6 (từ tiết 3 đến tiết 6) của chúng ta. Các em bố trí thời gian tham dự đầy đủ buổi đầu (và các buổi sau nữa) nhé.

Thày add thủ công, nên nếu bạn nào đó còn bị sót thì các em phản hồi hoặc theo đường link dưới đây để tham gia lớp đã đăng ký nhé

Chúc các em mạnh khỏe và thành công!

Thầy",Học tập
9,Học phần Đồ họa kỹ thuật cơ bản,"Chào các bạn,
Xin tự giới thiệu, mình là , giảng viên bộ môn Hình họa – Vẽ kỹ thuật, Viện Cơ khí.
Học kỳ 20202 này, mình sẽ phụ trách giảng dạy học phần Đồ họa kỹ thuật cơ bản cho mã lớp học 125825.
Theo thông báo của nhà trường, lớp chúng ta sẽ tạm thời học trực tuyến do ảnh hưởng của dịch Covid19. Vì vậy, mình gửi email này đến các thành viên của lớp để cung cấp đường link và mã code để chúng ta học trên ứng dụng MS Teams bắt đầu từ tuần sau.",Học tập
10,Thông báo về lớp học Vật lý Đại cương 3 ,"Chào các em, 

Nhân dịp năm mới Thầy gửi lời chúc sức khỏe tới em cùng gia đình năm mới dồi dào sức khỏe, vạn sự như ý.

Do tình hình dịch bệnh diễn biến phức tạp, hình thức học tập của lớp chuyển từ offline sang online.

Thầy chuyển các em đề cương môn học và bài giảng của 2 tuần tới. File chi tiết thầy đính kèm bên dưới.

Thầy gửi các em link lớp học mà mã lớp học.",Học tập
